id,name,yamakei,yamap,wikipedia,yamakei_id,yamap_id,wikipedia_title
380,石立山,O,O,O,915,6579,石立山
381,東吾妻山,X,O,O,,2882,東吾妻山
382,東赤石山,O,O,O,925,8070,東赤石山
383,蔵王山,O,O,O,215,13704,蔵王連峰
384,茅ヶ岳,O,O,O,357,16093,茅ヶ岳
385,安達太良山,O,O,O,226,157,安達太良山
386,霧島山,O,O,O,1020,188,霧島山
387,大台ヶ原山,O,O,O,753,64,大台ヶ原山
388,願教寺山,O,O,O,686,19396,願教寺山
389,向坂山,O,O,X,1007,4446,
390,御正体山,O,O,O,390,3348,御正体山
391,戸倉山（伊那富士）,O,O,O,608,16045,戸倉山 (伊那市・駒ヶ根市)
392,南木曽岳,O,O,O,572,457,南木曽岳
393,赤城山,O,O,O,280,15980,赤城山
394,野伏ヶ岳,O,O,O,687,19400,野伏ヶ岳
395,丹沢山,O,O,O,386,33,丹沢山
396,鷲ヶ岳,O,O,O,671,1705,鷲ヶ岳 (岐阜県)
397,夕張岳,O,O,O,67,445,夕張岳
398,羅臼岳,O,O,O,5,81,羅臼岳
399,鼻曲山,O,O,O,337,16559,鼻曲山
400,熊伏山,O,O,O,630,2631,熊伏山
401,守屋山,O,O,O,575,435,守屋山
402,金剛堂山,O,X,O,663,,金剛堂山
403,上福根山,O,O,X,1009,3048,
404,薬師岳,O,O,O,147,2783,早池峰山
405,大崩山,O,O,O,1002,8,大崩山
406,黒岳,X,O,O,,14415,黒岳 (御坂山地)
407,駒ヶ岳,O,O,O,173,135,秋田駒ヶ岳
408,七ヶ岳,O,O,O,283,3757,七ヶ岳
409,西クマネシリ岳,O,O,O,54,17654,西クマネシリ岳
410,古祖母山,O,O,O,1005,1883,古祖母山
411,ピリカヌプリ,O,O,O,85,3171,ピリカヌプリ
412,鋸岳,X,O,X,,19737,
413,赤兎山,O,O,O,689,126,赤兎山
414,蕎麦粒山,O,O,O,634,2835,黒法師岳
415,栗駒山,O,O,O,196,190,栗駒山
416,岩木山,O,O,O,174,132,岩木山
417,川上岳,O,O,O,670,3657,川上岳
418,経ヶ岳,O,O,O,690,19409,経ヶ岳 (福井県)
419,朝日岳,O,O,O,289,199,会津朝日岳
420,高塚山,O,O,O,635,2833,高塚山 (浜松市天竜区水窪町)
421,能郷白山（権現山）,O,O,O,703,3345,能郷白山
422,八幡平,O,O,O,167,37,八幡平
423,江代山（津野岳）,O,O,X,1010,11404,
424,傾山,O,O,O,1001,2011,傾山
425,神威岳,O,O,O,84,2651,神威岳 (大樹町・浦河町)
426,大源太山,O,O,O,310,19842,七ツ小屋山
427,白木峰,O,O,O,662,127,白木峰
428,飯森山,O,O,X,249,13448,
429,犬ヶ岳,O,O,O,458,19699,犬ヶ岳 (新潟県・富山県)
430,阿蘇山,O,O,O,973,50,阿蘇山
431,くじゅう連山,O,O,O,968,14975,九重山
432,大室山,O,O,O,389,16202,大室山 (丹沢)
433,八甲田山,O,O,O,156,131,八甲田山
434,浅草岳,O,O,O,301,682,浅草岳
435,由布岳（豊後富士）,O,O,O,964,97,由布岳
436,荒海山（太郎岳）,O,O,O,284,200,荒海山
437,八幡平,O,O,O,168,1025,八幡平
438,八幡平,O,O,O,169,18541,八幡平
439,霧島山,O,O,O,1022,11078,霧島山
440,大門山,O,O,O,677,1864,大門山
441,丹沢山,O,O,O,387,110,丹沢山
442,サシルイ岳,X,O,O,,17815,サシルイ岳
443,硫黄山,O,O,O,2,17818,知床硫黄山
444,笠取山,O,O,X,938,5908,
445,天塩岳,O,O,O,28,569,天塩岳
446,未丈ヶ岳,X,O,O,,3014,荒沢岳
447,八甲田山,O,O,O,157,19032,八甲田山
448,斜里岳,O,O,O,8,82,斜里岳
449,焼石岳,O,O,O,195,18248,焼石岳
450,石堂山,O,O,O,1012,11391,市房山
451,知円別岳,O,O,O,3,5427,知円別岳
452,三国山,O,O,X,47,17649,
453,中津山（明神山）,O,O,O,939,6971,中津明神山
454,大深岳,O,O,O,170,18505,大深岳
455,守門岳,O,O,O,300,3358,守門岳
456,風越山（権現山）,O,O,O,573,15862,南木曽岳
457,三頭山,O,O,O,373,28,三頭山 (東京都)
458,位山,O,O,O,669,3668,位山
459,荒島岳,O,O,O,698,61,荒島岳
460,赤久縄山,O,O,O,342,16445,赤久縄山
461,狩場山,O,O,O,113,17198,狩場山
462,中ノ岳,O,O,O,83,4260,神威岳 (大樹町・浦河町)
463,櫛ヶ峯（上岳）,O,O,O,158,6317,櫛ヶ峯
464,毛猛山,O,O,O,302,606,浅草岳
465,工石山,X,O,X,,14288,
466,氷ノ山（須賀ノ山）,O,O,O,812,72,氷ノ山
467,稲叢山,O,O,O,922,7658,稲叢山
468,阿蘇山,O,O,O,975,14169,阿蘇山
469,愛鷹山,O,O,O,397,3039,愛鷹山
470,涌蓋山,X,O,O,,7,涌蓋山
471,船形山（御所山）,O,O,O,208,41,船形山
472,雌阿寒岳,O,O,O,14,83,雌阿寒岳
473,駒ヶ岳,O,O,X,427,5743,
474,雲早山,O,O,O,904,8738,雲早山
475,暑寒別岳,O,O,O,60,3935,暑寒別岳
476,丹沢山,X,O,O,,245,丹沢山
477,余市岳,O,O,O,91,3538,余市岳
478,雲仙岳,O,O,O,991,11749,雲仙岳
479,博士山,O,O,O,281,13288,博士山
480,烏帽子岳（乳頭山）,O,O,X,172,194,
481,雌阿寒岳,X,O,O,,3166,雌阿寒岳
482,楽古岳,O,O,O,86,2778,楽古岳
483,京丸山,O,O,O,636,2501,高塚山 (浜松市天竜区水窪町)
484,白髪山,O,O,X,921,8018,
485,無意根山,O,O,O,93,17371,無意根山
486,部子山,O,O,O,697,4980,部子山
487,葉山,O,O,X,233,14014,
488,石墨山,O,O,O,932,6114,堂ヶ森
489,姥ヶ岳,O,O,X,702,4925,
490,森吉山,O,O,O,165,42,森吉山
491,赤星山,O,O,O,924,8150,赤星山
492,榛名山,O,O,O,338,23,榛名山
493,烏ヶ山,O,O,O,833,5131,烏ヶ山
494,中津山,O,O,X,910,8247,
495,聖山,O,O,O,438,16563,聖山 (長野県)
496,チトカニウシ山,O,O,O,29,17672,チトカニウシ山
497,高三郎山,O,O,O,676,19492,高三郎山
498,平家岳,O,O,O,699,3346,平家岳
499,和賀岳,O,O,O,192,192,和賀山塊
500,箱根山,O,O,O,400,3292,箱根山
501,虎毛山,O,O,O,198,7773,虎毛山
502,阿蘇山,O,X,O,974,,阿蘇山
503,甚吉森,O,X,X,917,,
504,荒船山,O,O,O,341,14407,荒船山
505,霧島山,X,O,O,,11061,霧島山
506,二王子岳,O,O,O,246,1092,二王子岳
507,国見山,X,O,X,,8389,
508,海別岳,O,O,O,7,4790,海別岳
509,白髪岳,O,O,X,1015,11174,
510,祝瓶山,O,O,O,238,45,祝瓶山
511,茶臼山,O,O,X,650,4723,
512,国見山,O,O,O,911,8409,国見山 (徳島県)
513,天城山,O,O,O,404,179,天城山
514,尾鈴山,O,O,O,1013,11392,尾鈴山
515,梶ヶ森,O,X,X,916,,
516,池木屋山,O,O,O,751,1931,台高山脈
517,篠井山,O,O,O,646,3045,篠井山
518,東山,O,O,X,814,4757,
519,御神楽岳,O,O,O,297,733,御神楽岳
520,小野岳,O,O,O,282,3414,小野岳
521,斑尾山,O,O,O,425,1399,斑尾山
522,龍神岳,X,O,O,,758,龍神岳
523,菰釣山,O,O,O,391,15976,菰釣山
524,白鬚岳,O,O,O,752,1926,薊岳
525,虫倉山,O,O,X,437,16622,
526,伊吹山,O,O,O,707,98,伊吹山
527,涅槃岳,X,O,X,,4407,
528,群別岳,O,O,O,61,3945,群別岳
529,鶴見岳,O,O,O,963,15482,鶴見岳
